unit,rep_mar,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
THS_T,BE,288827,268675,277783,270317,257865,253543,241459,237852,228130,223987,232789,228228,203368,243819,236320,218941,206539,187889,181110,173824,174181,179381,165557,171026,161621
THS_T,BG,25576,25258,30997,27868,30953,28685,27166,27235,28841,26012,25185,22946,21893,26576,24900,27513,24841,23125,21358,20390,20192,: ,: ,: ,: 
THS_T,CY,6985,7473,7428,6948,7860,10259,10268,7186,7172,6236,6564,6954,6808,7962,7516,7676,7305,6837,7258,7220,: ,: ,: ,: ,: 
THS_T,DE,289130,275731,294533,296181,299189,297137,295918,303742,297281,298758,296037,275953,262863,320636,315051,302789,284865,271869,254834,246353,246050,242535,221623,217388,213318
THS_T,DK,94255,91382,93727,95989,94638,95829,95098,92244,88406,87827,92613,87068,90636,106096,109660,107674,99688,100373,103954,94283,93972,96533,97213,104966,124010
THS_T,EE,39436,37741,37760,35947,34801,33596,34965,43578,42908,43519,48479,46026,38505,36191,44964,49998,46546,44808,47048,44682,40383,: ,: ,: ,: 
THS_T,EL,178205,178339,194468,190523,181261,175100,167036,168501,160986,153317,135314,129059,135430,152498,164300,159425,151250,157892,162534,147692,122171,127750,112549,110546,101311
THS_T,ES,477021,455511,496912,497812,483679,451255,447023,427672,397462,419865,403834,377095,363536,416104,426648,414378,399682,373726,342681,325498,314219,272957,295715,280254,270634
THS_T,FI,102518,109211,120488,117108,109320,105022,99962,105537,105117,105120,115452,109326,93239,114725,114819,110536,99577,106524,104439,99099,96150,80681,77467,76562,75314
THS_T,FR,277623,274511,302288,308629,302840,292160,297880,298203,303031,303269,322254,316137,315562,351976,346825,350334,341470,334035,330135,319032,318188,325789,315153,319000,305079
THS_T,HR,21644,21410,20580,21573,20798,18551,18930,18603,19366,18972,21862,24329,23377,29223,30097,26325,26201,25246,20320,18584,19056,16886,: ,: ,: 
THS_T,IE,54027,51425,53251,55120,53351,50758,50666,47483,46722,47649,45078,45071,41829,51081,54139,53326,52146,47720,46165,44919,45795,45273,42928,39958,36333
THS_T,IS,7664,6969,7662,7263,7672,7446,7137,6674,6833,6389,6105,6001,6201,6588,6147,5917,5653,5308,4981,4771,4966,5164,5034,4728,: 
THS_T,IT,501603,469635,508074,501958,475164,461990,458020,443141,457078,476823,499885,494091,469879,526219,537327,520183,508946,484984,477028,457958,444804,446641,425914,444956,434295
THS_T,LT,49385,51529,52244,52462,49856,46236,43128,41105,39757,41033,42661,37869,34344,36379,29253,27235,26146,25842,30242,24405,20953,: ,: ,: ,: 
THS_T,LV,39705,42099,59046,62660,58687,60962,67811,71836,67148,72723,67016,58691,60088,61430,61083,56861,59698,54829,54652,51978,56827,: ,: ,: ,: 
THS_T,ME,1859,2044,2035,1956,2096,1617,1487,1241,1267,1163,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,MT,3370,5738,5195,4559,4114,3788,3705,3460,3101,3326,3345,3796,3369,3373,3228,3578,3503,3474,3417,3300,: ,: ,: ,: ,: 
THS_T,NL,589706,557583,607527,604542,595810,588772,594272,571636,558542,557264,550745,538702,483133,530359,507463,477238,460940,440722,410330,413312,405853,405802,395664,405384,402162
THS_T,NO,225781,222829,211207,215438,210649,200143,193605,200812,207057,205959,198970,195132,182635,193368,198507,196818,201678,198199,186781,190034,: ,: ,: ,: ,: 
THS_T,PL,96663,88520,93864,91798,78076,72926,69530,68744,64282,58825,57738,59507,45079,48833,52433,53131,54769,52272,51020,48111,46210,: ,: ,: ,: 
THS_T,PT,83080,79371,85320,90361,93356,91344,86769,80156,78244,67875,67506,65981,61714,65275,68229,66861,65301,59071,57470,55599,56164,56404,58794,57619,54734
THS_T,RO,53121,47220,53101,49107,46182,46295,44533,43753,43577,39520,38918,38122,36094,50458,48928,46709,47694,40594,35925,32698,27619,: ,: ,: ,: 
THS_T,SE,170619,168970,170557,179949,175964,171324,169685,167530,161570,172976,177093,179579,161823,187778,185057,180487,178122,167350,161454,154626,152830,159291,156349,155618,149892
THS_T,SI,20060,18314,22114,23127,22311,21171,19931,18012,17184,16907,16198,14591,13356,16554,15853,15483,12625,12063,10788,9305,9146,: ,: ,: ,: 
THS_T,TR,519907,490556,478116,454370,465981,425853,411783,378688,379400,374714,359082,338078,293906,305271,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,UK,: ,: ,486094,483305,481815,484048,496708,503171,503324,500860,519495,511875,500863,562166,581504,583739,584919,573070,555662,558325,566366,573050,565614,568502,558530